entity,logical_name,type
kyn_Suscripcionesdeinformes,createdby,lookup
kyn_Suscripcionesdeinformes,createdon,datetime
kyn_Suscripcionesdeinformes,createdonbehalfby,lookup
kyn_Suscripcionesdeinformes,importsequencenumber,int
kyn_Suscripcionesdeinformes,kyn_name,nvarchar
kyn_Suscripcionesdeinformes,kyn_recipientemail,nvarchar
kyn_Suscripcionesdeinformes,kyn_reportmode,nvarchar
kyn_Suscripcionesdeinformes,kyn_reportmodecode,picklist
kyn_Suscripcionesdeinformes,kyn_suscripcionesdeinformesid,primarykey
kyn_Suscripcionesdeinformes,modifiedby,lookup
kyn_Suscripcionesdeinformes,modifiedon,datetime
kyn_Suscripcionesdeinformes,modifiedonbehalfby,lookup
kyn_Suscripcionesdeinformes,overriddencreatedon,datetime
kyn_Suscripcionesdeinformes,ownerid,owner
kyn_Suscripcionesdeinformes,owningbusinessunit,lookup
kyn_Suscripcionesdeinformes,owningteam,lookup
kyn_Suscripcionesdeinformes,owninguser,lookup
kyn_Suscripcionesdeinformes,statecode,state
kyn_Suscripcionesdeinformes,statuscode,status
kyn_Suscripcionesdeinformes,timezoneruleversionnumber,int
kyn_Suscripcionesdeinformes,utcconversiontimezonecode,int
kyn_agenttenantwide,createdby,lookup
kyn_agenttenantwide,createdon,datetime
kyn_agenttenantwide,createdonbehalfby,lookup
kyn_agenttenantwide,importsequencenumber,int
kyn_agenttenantwide,kyn_activityindicator,nvarchar
kyn_agenttenantwide,kyn_agentid,nvarchar
kyn_agenttenantwide,kyn_agenttenantwideid,primarykey
kyn_agenttenantwide,kyn_authenticationjson,ntext
kyn_agenttenantwide,kyn_cleanupdecision,nvarchar
kyn_agenttenantwide,kyn_createdat,datetime
kyn_agenttenantwide,kyn_createdby,nvarchar
kyn_agenttenantwide,kyn_createdbydisplay,nvarchar
kyn_agenttenantwide,kyn_createdin,nvarchar
kyn_agenttenantwide,kyn_creatoremail,nvarchar
kyn_agenttenantwide,kyn_creatorobjectid,nvarchar
kyn_agenttenantwide,kyn_criticality,nvarchar
kyn_agenttenantwide,kyn_criticalitycode,int
kyn_agenttenantwide,kyn_displayname,nvarchar
kyn_agenttenantwide,kyn_enrichmentsummary,ntext
kyn_agenttenantwide,kyn_entraappid,nvarchar
kyn_agenttenantwide,kyn_environmentid,nvarchar
kyn_agenttenantwide,kyn_functionalowner,nvarchar
kyn_agenttenantwide,kyn_governancescore,int
kyn_agenttenantwide,kyn_isquarantined,nvarchar
kyn_agenttenantwide,kyn_lastenrichedon,datetime
kyn_agenttenantwide,kyn_lastpublishedat,datetime
kyn_agenttenantwide,kyn_lastseenon,datetime
kyn_agenttenantwide,kyn_lastsyncstatus,nvarchar
kyn_agenttenantwide,kyn_location,nvarchar
kyn_agenttenantwide,kyn_missingcounter,int
kyn_agenttenantwide,kyn_modeljson,ntext
kyn_agenttenantwide,kyn_modelnormalized,nvarchar
kyn_agenttenantwide,kyn_modelprovider,nvarchar
kyn_agenttenantwide,kyn_name,nvarchar
kyn_agenttenantwide,kyn_orchestrationjson,ntext
kyn_agenttenantwide,kyn_originnormalized,nvarchar
kyn_agenttenantwide,kyn_ownerdisplay,nvarchar
kyn_agenttenantwide,kyn_owneremail,nvarchar
kyn_agenttenantwide,kyn_ownerid,nvarchar
kyn_agenttenantwide,kyn_ownerobjectid,nvarchar
kyn_agenttenantwide,kyn_resourceid,ntext
kyn_agenttenantwide,kyn_resourcetype,nvarchar
kyn_agenttenantwide,kyn_reviewstatus,nvarchar
kyn_agenttenantwide,kyn_reviewstatuscode,int
kyn_agenttenantwide,kyn_schemaname,nvarchar
kyn_agenttenantwide,kyn_telemetrysource,nvarchar
kyn_agenttenantwide,kyn_tenantid,nvarchar
kyn_agenttenantwide,kyn_usageevidence,ntext
kyn_agenttenantwide,kyn_usageindicator,nvarchar
kyn_agenttenantwide,modifiedby,lookup
kyn_agenttenantwide,modifiedon,datetime
kyn_agenttenantwide,modifiedonbehalfby,lookup
kyn_agenttenantwide,overriddencreatedon,datetime
kyn_agenttenantwide,ownerid,owner
kyn_agenttenantwide,owningbusinessunit,lookup
kyn_agenttenantwide,owningteam,lookup
kyn_agenttenantwide,owninguser,lookup
kyn_agenttenantwide,statecode,state
kyn_agenttenantwide,statuscode,status
kyn_agenttenantwide,timezoneruleversionnumber,int
kyn_agenttenantwide,utcconversiontimezonecode,int
